"lat","lon","param","floweringTime","freshWeightAtFlowering","leafNumberAtFlowering","hasEmerged","eme","growingTime","baseFloweringTime","baseFreshWeightAtFlowering","baseLeafNumberAtFlowering","baseHasEmerged","baseEme","baseParam","baseGrowingTime","floweringTimeSens","growingTimeSens","leafNumberAtFloweringSens","rosetteWeight","baseRosetteWeight","rosetteWeightSens"
39.75,-4.5,1,936,1.063777,12,1,280,656,936,1.097275,12,1,279,0,657,0,-1,0,0.038826,0.040215,-0.001389
39.75,-4.5,10,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,100,936,1.096907,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040206,0.040215,-9.00000000000206e-06
39.75,-4.5,101,936,1.097212,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040214,0.040215,-1.000000000001e-06
39.75,-4.5,102,936,1.09681,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040205,0.040215,-1.00000000000031e-05
39.75,-4.5,103,936,1.097634,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040223,0.040215,8.00000000000106e-06
39.75,-4.5,104,936,1.097259,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,105,936,1.097014,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040209,0.040215,-5.99999999999906e-06
39.75,-4.5,106,936,1.09729,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040216,0.040215,1.000000000001e-06
39.75,-4.5,107,936,1.097397,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040219,0.040215,3.99999999999706e-06
39.75,-4.5,108,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,109,936,1.096957,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040207,0.040215,-8.00000000000106e-06
39.75,-4.5,11,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,110,936,1.097434,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040219,0.040215,3.99999999999706e-06
39.75,-4.5,111,936,1.097001,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040209,0.040215,-5.99999999999906e-06
39.75,-4.5,112,936,1.097098,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040212,0.040215,-3.000000000003e-06
39.75,-4.5,113,936,1.097116,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040211,0.040215,-4.000000000004e-06
39.75,-4.5,114,936,1.097168,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040214,0.040215,-1.000000000001e-06
39.75,-4.5,115,936,1.0973,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,116,936,1.097324,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040218,0.040215,2.99999999999606e-06
39.75,-4.5,117,936,1.09726,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,118,936,1.096146,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040191,0.040215,-2.40000000000032e-05
39.75,-4.5,119,936,1.097439,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.04022,0.040215,4.99999999999806e-06
39.75,-4.5,12,936,1.097275,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,120,936,1.096433,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040196,0.040215,-1.89999999999982e-05
39.75,-4.5,121,936,1.096407,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040194,0.040215,-2.10000000000002e-05
39.75,-4.5,122,936,1.096778,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040203,0.040215,-1.19999999999981e-05
39.75,-4.5,123,936,1.097199,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040215,0.040215,0
39.75,-4.5,124,936,1.097107,12,1,279,657,936,1.097275,12,1,279,0,657,0,0,0,0.040212,0.040215,-3.000000000003e-06
