"lat","lon","param","floweringTime","freshWeightAtFlowering","leafNumberAtFlowering","hasEmerged","eme","growingTime","baseFloweringTime","baseFreshWeightAtFlowering","baseLeafNumberAtFlowering","baseHasEmerged","baseEme","baseParam","baseGrowingTime","floweringTimeSens","growingTimeSens","leafNumberAtFloweringSens","rosetteWeight","baseRosetteWeight","rosetteWeightSens"
39.75,-4.5,1,2256,45.517566,25,1,193,2063,2232,41.241862,25,1,193,0,2039,24,24,0,0.020612,0.020557,5.49999999999995e-05
39.75,-4.5,10,2232,41.241862,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020557,0.020557,0
39.75,-4.5,100,2232,41.230125,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020553,0.020557,-4.00000000000053e-06
39.75,-4.5,101,2232,41.235785,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020555,0.020557,-1.99999999999853e-06
39.75,-4.5,102,2232,41.225295,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020551,0.020557,-5.99999999999906e-06
39.75,-4.5,103,2232,41.243969,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020557,0.020557,0
39.75,-4.5,104,2232,41.237813,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020555,0.020557,-1.99999999999853e-06
39.75,-4.5,105,2232,41.22928,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020553,0.020557,-4.00000000000053e-06
39.75,-4.5,106,2232,41.238053,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020555,0.020557,-1.99999999999853e-06
39.75,-4.5,107,2232,41.240681,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020556,0.020557,-9.99999999997531e-07
39.75,-4.5,108,2232,41.236959,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020555,0.020557,-1.99999999999853e-06
39.75,-4.5,109,2232,41.229371,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020553,0.020557,-4.00000000000053e-06
39.75,-4.5,11,2232,41.241862,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020557,0.020557,0
39.75,-4.5,110,2232,41.237797,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020555,0.020557,-1.99999999999853e-06
39.75,-4.5,111,2232,41.229383,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020553,0.020557,-4.00000000000053e-06
39.75,-4.5,112,2232,41.230144,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020553,0.020557,-4.00000000000053e-06
39.75,-4.5,113,2232,41.230061,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020553,0.020557,-4.00000000000053e-06
39.75,-4.5,114,2232,41.233466,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020554,0.020557,-2.99999999999953e-06
39.75,-4.5,115,2232,41.238463,25,1,193,2039,2232,41.241862,25,1,193,0,2039,0,0,0,0.020555,0.020557,-1.99999999999853e-06
